,MASI var-n,MASI var-t,MASI var-x,MSI20 var-n,MSI20 var-t,MSI20 var-x,ESG10 var-n,ESG10 var-t,ESG10 var-x
0.95,0.011072112417547408,0.010912315729491634,0.008955836729281165,0.012418472048330588,0.012239244216350536,0.010434758422886572,0.01272307594625534,0.012539451961831951,0.010726360230845585
0.975,0.013193235687111914,0.013414993753952888,0.012175785314818983,0.014797522137490108,0.015046245800211596,0.014044025047139844,0.015160480068640198,0.01541530449777451,0.014422422011046486
0.98,0.01382453638630177,0.014204765969772534,0.013346081256288682,0.015505588474908799,0.01593205365844475,0.015340365769471133,0.01588591406333006,0.016322839709049176,0.015748389805335685
0.985,0.01460767342647142,0.01521726768260038,0.014970176786526802,0.016383954325669678,0.017067674734664334,0.017127477239586037,0.016785824727406497,0.017486315629651847,0.017575150798075295
0.99,0.01565949988598136,0.016639874115714496,0.017510123217116445,0.017563682004953136,0.01866326892294266,0.01989760849469666,0.017994489110674222,0.01912104701672276,0.020404261555539486
0.995,0.017338850794987905,0.019081294236776986,0.02267043056238971,0.01944724058315044,0.021401563693468698,0.025447911294261705,0.019924248162058213,0.021926507478609462,0.026064983655539165
0.999,0.020801485876673853,0.024948048545926825,0.04029334729527615,0.023330929201352796,0.02798171043106285,0.043864077894284835,0.023903197025387863,0.028668053971132194,0.044794304299153216
